timestamp,symbole_actif,secteur,prix_ouverture,prix_haut,prix_bas,prix_cloture,volume,volatilite,rsi_14,macd,bollinger_sup,bollinger_moy,bollinger_inf,atr_14,obv,stochastique_k,stochastique_d,ema_9,ema_21,sharpe_ratio_30j,volatilite_historique_30j,tendance,sentiment_news,mouvement_24h
2024-05-02 22:00:00,AAPL,tech,184.85,185.44,184.8,185.25,595239,0.347,36.67,-0.4338,189.18,186.68,184.18,0.9557,57998936,28.31,23.2,185.67,186.23,2.295,26.403,haussière,neutre,-0.14
2024-05-02 22:00:00,AMD,tech,313.29,314.42,313.04,314.16,1427573,0.442,65.79,2.2724,317.94,311.44,304.95,2.8098,707088021,73.45,70.38,313.23,311.22,5.996,57.193,haussière,positif,2.32
2024-05-02 22:00:00,AMZN,tech,197.95,198.95,197.61,198.83,1568906,0.681,58.39,0.1074,199.25,198.25,197.24,0.8752,-104132626,87.5,56.68,198.2,198.12,7.462,30.447,haussière,positif,0.22
2024-05-02 22:00:00,BTC-USD,crypto,87233.69,87590.28,85739.57,85743.03,2564,2.122,60.93,948.2804,88294.06,84852.55,81411.04,1516.2932,48940,59.53,78.37,86125.13,85146.54,1.956,99.662,baissière,négatif,2.78
2024-05-02 22:00:00,ETH-USD,crypto,1186.72,1188.02,1175.4,1182.64,1499,1.064,45.64,1.9281,1221.32,1195.37,1169.43,18.1412,-89425,22.5,35.39,1192.02,1191.54,1.298,106.494,baissière,négatif,0.95
2024-05-02 22:00:00,EUR/USD,forex,1.33297,1.33407,1.33295,1.33387,34185489,0.084,35.57,-0.0005,1.3395,1.33667,1.33384,0.0015,12923001287,25.02,14.54,1.33549,1.33622,15.899,6.861,neutre,négatif,-0.06
2024-05-02 22:00:00,GBP/USD,forex,1.58318,1.58332,1.58296,1.58319,45494095,0.022,34.45,-0.0024,1.59148,1.58766,1.58384,0.0021,13143503888,5.01,6.43,1.58586,1.58799,-7.764,8.004,neutre,neutre,-0.53
2024-05-02 22:00:00,GOOGL,tech,207.69,209.08,207.54,208.81,1245695,0.739,67.67,0.6529,209.12,207.58,206.04,0.8084,390349059,82.25,58.19,207.99,207.4,3.733,28.6,haussière,positif,1.94
2024-05-02 22:00:00,INTC,tech,55.31,55.76,55.22,55.71,986396,0.985,68.29,0.025,56.16,55.12,54.09,0.4277,183260482,81.56,68.46,55.44,55.35,5.546,51.519,haussière,négatif,2.25
2024-05-02 22:00:00,JPM,finance,130.78,130.8,130.59,130.77,705830,0.159,36.1,-0.4186,132.57,131.65,130.73,0.4427,-485176055,15.32,17.1,131.22,131.65,-3.494,20.48,neutre,négatif,-1.42
2024-05-02 22:00:00,META,tech,403.89,406.02,403.7,405.44,711701,0.574,51.94,-0.978,408.42,405.7,402.97,2.0061,-234861096,46.98,25.09,405.02,405.89,-4.78,36.885,haussière,neutre,-0.67
2024-05-02 22:00:00,MSFT,tech,442.12,444.47,441.76,443.46,716662,0.614,80.09,0.5738,443.78,440.46,437.15,1.4467,-94690182,84.47,83.1,441.93,441.13,0.799,21.208,haussière,négatif,0.72
2024-05-02 22:00:00,NFLX,tech,884.74,894.07,883.04,890.93,1356041,1.247,58.42,2.9495,892.73,884.98,877.22,6.1734,-393444934,78.77,56.92,887.08,884.66,4.96,41.567,haussière,positif,1.32
2024-05-02 22:00:00,NVDA,tech,115.64,116.7,115.11,116.63,744539,1.378,48.59,0.0413,117.37,116.29,115.21,1.0364,-622843043,74.43,42.79,116.1,116.12,2.86,65.606,haussière,positif,-0.45
2024-05-02 22:00:00,QQQ,indice,386.05,386.29,385.36,385.81,1203095,0.24,21.88,-1.2965,390.33,388.03,385.72,0.8454,-52280033,10.32,6.76,386.94,388.13,-13.986,14.451,neutre,positif,-1.1
2024-05-02 22:00:00,SPY,indice,497.11,497.85,497.03,497.51,1310770,0.166,70.72,1.325,497.75,495.11,492.46,1.0617,-209746582,93.69,85.49,496.23,495.07,-8.358,14.061,neutre,neutre,0.9
2024-05-02 22:00:00,USD/JPY,forex,192.254,192.47,192.179,192.433,39745663,0.151,55.88,-0.0206,192.57,192.31,192.049,0.2069,11054920515,67.36,54.15,192.38,192.373,11.906,6.463,neutre,neutre,0.03
2024-05-02 22:00:00,V,finance,221.0,221.16,220.82,221.0,586515,0.151,16.95,-0.9853,226.43,223.96,221.5,0.7026,-222495676,4.28,7.82,222.69,223.74,-6.729,19.738,neutre,neutre,-2.1
